Date Time (UTC),Device,Direction,Payload
8/1/2019 3:16,RockBLOCK 17285,MO,015d42521b23c697c5ed196f43013e00a001241a050ea6060d025d42548169b597c5bc277143014900a0012d1a051117040d035d4256e829a497c568167343013b00a001201e051117040d045d42594e199397c59cf57443013a00a0011f1a051388060d
8/1/2019 4:07,RockBLOCK 17285,MO,015d425e1a2d7297c54ff37843013a00a0011d1a051117060d025d426080136297c55ef57a43013900a0011c1e051117040d035d4262e6bc5197c58c077d43013800a0011c1a051117040d045d42654ce14097c5b0067f43013d00a0011d1a051388060d
8/1/2019 4:58,RockBLOCK 17285,MO,015d426a18441f97c5616b8143013d00a0011f1e0515f9040d025d426c7e510e97c5e34f9643013d00a001201a0515f9040d035d426ee4bcfd96c5963c9743013d00a00121220515f9040d045d42714a60ed96c5f4379843013d00a001231a05186a040d
8/1/2019 5:50,RockBLOCK 17285,MO,015d42761613cd96c527509a43020000a0014f1a051d4c060d025d42787c01bd96c5295d9b43013800a0011f1a051adb060d035d427ae3b6ac96c52e599c43013c00a001211a051d4c060d045d427d48549c96c51c519d43013b00a0011f1a051fbd060d
8/1/2019 6:41,RockBLOCK 17285,MO,015d428214477c96c5b73c9f43015e00a001471e051fbd040d025d42847a5a6c96c51c33a043015600a0013d1a05222e040d035d4286e0fa5b96c50028a143014e00a001341a05249f060d045d428946e24b96c5801fa243014700a0012c1a05249f040d
8/1/2019 7:32,RockBLOCK 17285,MO,015d428e13592b96c51b08a443014500a001291a060000060d025d42907af61a96c572ffa443014700a0012c1a060271060d035d4292e1ab0a96c5f6f1a543014900a0012f1e0604e2060d045d429548b8ba94c59eeba643013900a0011e1a060753040d
8/1/2019 8:23,RockBLOCK 17285,MO,015d429a15909a94c501d5a843014400a001281e061388060d025d429c7caf8a94c5c7d8a943014600a001291a061adb040d035d429ee3c27a94c5b7d6aa43014600a001291a061fbd060d045d42a14bb06a94c5d8cdab43014600a001281a06222e040d
8/1/2019 9:14,RockBLOCK 17285,MO,015d42a61a854a94c5febead43014100a001241a0704e2060d025d42a8808b3a94c5a6afae43015900a001411a070753040d035d42aae7952a94c50995af43016000a001471e070c35060d045d42ad4e9c1a94c5857db043020000a0014c1a071117040d
8/1/2019 10:06,RockBLOCK 17285,MO,015d42b21bc7fb93c5d052b243015e00a001461a071fbd060d025d42b48249ec93c5e448b343015100a001371a07186a060d035d42b6e9bbdc93c55a3dc843014f00a001351a071fbd060d045d42b95058cd93c5d02fc943014d00a001341a07222e040d
8/1/2019 10:57,RockBLOCK 17285,MO,015d42be1ea2ad93c596f6ca43015b00a001411a07249f060d025d42c0859c9d93c576d5cb43014600a0012c22071d4c040d035d42c2ec0b8e93c5abcdcc43020600a001511a071adb060d045d42c552b87e93c523cdcd43014200a001251a0715f9040d
8/1/2019 11:57,RockBLOCK 17285,MO,010000000000000000000000000000000000000007222e040d0200000000000000000000000000000000000000071adb040d03000000000000000000000000000000000000000715f9080d040000000000000000000000000000000000000007186a040d
